SHA,ETAG,Author,Username,Additions,Deletions,Total,Date
bbe378bbe2fad28ff4069537bc2b46fa4b8e89c9,"W/""ad51862b10ecd2d0554d9211b6ed6de5ef13a6cdbe927f33a2b73d0a2b1c9a9a""",Oleg Grenrus,phadej,102.0,54.0,156.0,"Fri, 20 Dec 2019 13:21:15 GMT"
2503b54595acee2683b81bf37d1f927f6e32b3c4,"W/""ab333ecc0d819195381124c0d33e2b63757e1ef8f271cfc358174fe747add8d5""",Sajid Ibne Anower,sajidanower23,61.0,13.0,74.0,"Fri, 20 Dec 2019 11:26:03 GMT"
b7ee2b803157948479ceccd85233aa1e9474adc9,"W/""a216292d7b1295fdddb24d3037a5b032e89105b7ed1a828b21c7b71021147806""",Oleg Grenrus,phadej,9.0,45.0,54.0,"Thu, 19 Dec 2019 13:55:38 GMT"
3fb5f0ce6c0359f37909d3315cee6c6ef9b38db8,"W/""ba115658ed8ba5b25fed946a2c981511d42be16f04a33935ef53158a51b52fe8""",Robbie McMichael,robbiemcmichael,41.0,3.0,44.0,"Mon, 16 Dec 2019 09:42:26 GMT"
b277deb25f76b88cd28d2c97b715041e05346d7f,"W/""a28165d620b0cb185489fa3bc376d8932eca7cb6b2409e0adf6eeb861dd13c26""",Robbie McMichael,robbiemcmichael,67.0,0.0,67.0,"Mon, 16 Dec 2019 08:24:18 GMT"
6b42b3031961920bdb719227893566dbd81f9ce5,"W/""4f317ea01ca26a44c891b87296a885ee311bd64efba65bb1d390b7eefb4295dd""",Robbie McMichael,robbiemcmichael,104.0,0.0,104.0,"Mon, 16 Dec 2019 08:24:11 GMT"
e4d0b9f2957d52c29cfa724a5477e03081f7abc8,"W/""c189ac81d5006e07cd8eec2ac16f0ea299311e9467fa20497136c26481e1d7d6""",Oleg Grenrus,phadej,29.0,4.0,33.0,"Sat, 14 Dec 2019 16:25:03 GMT"
75afbf8d7bfa4d82724064a9a10ef49da9ff29d1,"W/""93d12c5363da93160077c063a5b06a148fbea1c229d278087809b15e25b2d1cc""",Robbie McMichael,robbiemcmichael,29.0,4.0,33.0,"Sat, 14 Dec 2019 12:47:51 GMT"
e99858d26ed21472b2405a56e42c73693b319145,"W/""1430e308fd83d73ab30b1031662f54bd153069a5c51cba75309aeb59564db6fc""",Oleg Grenrus,phadej,2.0,2.0,4.0,"Tue, 03 Dec 2019 09:48:37 GMT"
01de4b16d2f1ef2aea3d437f1697ea5f318701bb,"W/""0bd9f73a351c9954e405b97dcbdfba1e93b3311b126777bd48514d63f98d791a""",Oleg Grenrus,phadej,0.0,34.0,34.0,"Wed, 27 Nov 2019 12:35:13 GMT"
f48374924d32d99027fe469318bb540c3923a43f,"W/""19b73893f3dd004f4c28aaa58d833b5930794f8d554298bc7cd0d20329554c59""",Oleg Grenrus,phadej,287.0,2051.0,2338.0,"Wed, 27 Nov 2019 12:24:16 GMT"
dab2a747a1d20746a7701c2c968bc2d35bcfb1cd,"W/""88c0c5a96c3e71c0cde92cae509b15329fbaab7db0fbda26ecc86f6fdd1dc1ef""",Oleg Grenrus,phadej,19.0,2.0,21.0,"Wed, 27 Nov 2019 01:31:20 GMT"
7f103113066c38b8c87f833ea8221e01227ac61f,"W/""f4169ad7b2bb1e225fb6d91efb4c6590e202e9a2f0084e9c8a3a2dc32ef061e3""",Oleg Grenrus,phadej,0.0,82.0,82.0,"Wed, 27 Nov 2019 01:31:20 GMT"
75fa30bfd14599ba09031ad63215d14e7a239d3d,"W/""1c3928586cd3a8f98a0899e4dda9bae5886270e57718a43322e0ed6abaf2908a""",Oleg Grenrus,phadej,177.0,1955.0,2132.0,"Wed, 27 Nov 2019 01:31:20 GMT"
299507c7450305defd14ce3e3204c19df96276e3,"W/""15583fded8bd84f3375779785b91bce9e96f8a835805f038402551d70c640424""",Oleg Grenrus,phadej,83.0,12.0,95.0,"Wed, 27 Nov 2019 01:31:20 GMT"
a04cba6b0e3ff113a0c4c6d655b78ee9a7bd11fc,"W/""4d1c99f0ed85b2097289959843fcc205503ecedaaa96a6740d5b032a7d32ff0e""",Oleg Grenrus,phadej,8.0,0.0,8.0,"Wed, 27 Nov 2019 01:31:20 GMT"
12e3e42ef4c27f638a25a094008b7b1c66820e85,"W/""3d683cca82dfc3a6a408ab1c08e304af8f8d8297817b7b191e7c6a0abe98b1b3""",Oleg Grenrus,phadej,1.0,1.0,2.0,"Tue, 26 Nov 2019 12:55:29 GMT"
a70721b5e90ec9bb2a7b1b20771c0db10b988709,"W/""9be6f23130fa435707787bb9261f122423416693eede30ae134ad1382395099a""",Dmitry Ivanov,ethercrow,1.0,1.0,2.0,"Tue, 26 Nov 2019 11:55:10 GMT"
078c0926620d80c50aa6b37ed41de0ca5e9f6292,"W/""fa304aa9e568e261c55741e002b861a1fff9596fa9f24c1d4db0337b2b274fa3""",Oleg Grenrus,phadej,37.0,22.0,59.0,"Tue, 22 Oct 2019 16:35:52 GMT"
87a88ac8d3456347a637ed6821cc75690f5f1a0c,"W/""1bdb2e610cb1901d6b0d0a3f2946db3d854fb2c512aa58bd9377296aa0eb3602""",Oleg Grenrus,phadej,37.0,22.0,59.0,"Tue, 22 Oct 2019 09:51:35 GMT"
c6d2fb00ea40d44796aa929cf6505855602e59fa,"W/""2b88b73a3cd2bd4e5e9ca920a5a3610dccbdd6a3401f548372849ba408a48182""",Oleg Grenrus,phadej,11.0,11.0,22.0,"Tue, 22 Oct 2019 09:40:52 GMT"
fdbe62686d654cba8e5af6b8ffee3506b0e4a86e,"W/""5d7bffd348b8199e6bde8c95dd54e740f95d96c996ae6187ba3d6ee8995c278c""",Oleg Grenrus,phadej,115.0,80.0,195.0,"Tue, 22 Oct 2019 09:40:06 GMT"
56977c72e0c8bf614f1a63d175a824a37bde5897,"W/""b7c111ca4c59ecc1227e7a9b501065bb15685bc7babea73296506d80ebeccf49""",MATSUBARA Nobutada,matsubara0507,33.0,15.0,48.0,"Sun, 20 Oct 2019 08:02:25 GMT"
28e82b94177b113e94b4027efed85a25845e6fdd,"W/""a2343a8c0cdae51220e3371ec4512b3608246b8bfc8ca9c466a37b1cfdc26e41""",MATSUBARA Nobutada,matsubara0507,46.0,44.0,90.0,"Sun, 20 Oct 2019 03:25:29 GMT"
ea74dcb62fb1c5db9c8b386dca88ea6708d64816,"W/""94cf337bfdd961ce1fef2723e9fc5f3ceec9319c7da122faea1b783dedf71a9c""",Thomas Tuegel,ttuegel,11.0,11.0,22.0,"Sat, 19 Oct 2019 12:51:03 GMT"
6c743cfcb93420a01192105e5f1d86bf181d51d0,"W/""4733dc22b0d87495ba6508187f6411c117e28ce21d020116260c02f072f23341""",MATSUBARA Nobutada,matsubara0507,36.0,21.0,57.0,"Mon, 07 Oct 2019 05:40:06 GMT"
1eb7257055b693d17b68e3f454c574accc618cb0,"W/""ed2bb7edd5973b3a21b2f2cf231450282a2bd79886814f9a5f27c5f1d2207ab2""",Oleg Grenrus,phadej,12.0,6.0,18.0,"Mon, 30 Sep 2019 08:04:36 GMT"
a40db0d5365de175c01e0db5b97c7f477df812b8,"W/""277fa4a85853a68c530cc2925578cf2f5760e8af1ad5b5c7c8c2ebc39325eb20""",Oleg Grenrus,phadej,4.0,4.0,8.0,"Mon, 30 Sep 2019 07:29:10 GMT"
098031a3fd015b72ded982e64017a6ae7352c6d2,"W/""951631c4f11bd6fc76625f978fa393dcb1b479551ffe1cae006f92957b87bbc6""",Oleg Grenrus,phadej,9.0,3.0,12.0,"Mon, 30 Sep 2019 07:29:08 GMT"
ad2eb57a44734dc64a35f5fa0e8d006ad0c8056e,"W/""08ba27b016b3bc6d74ab39bcea120b4733e4165bb0469bf80874d5563e255f37""",Oleg Grenrus,phadej,12.0,3.0,15.0,"Mon, 30 Sep 2019 07:28:09 GMT"
c1b9fd4d502ef788162e8d3b2c01ed2355217423,"W/""8e6d8b54b7e2b328e7f3c9b196c632d3bcbf8cf8f72f2284c189f0d33bf41848""",Oleg Grenrus,phadej,2.0,5.0,7.0,"Sun, 29 Sep 2019 21:08:11 GMT"
